5,5,4,5,8,11,6,18,5,2,8,4,5,9,7,17,6,9,2
10,11,11,16,10,11,9,10,11,13,10,421,11,12,12,13,11,13,10
15,23,11,13,15,15,18,15,5,15,15,16,14,14,3,16,17,18,16
20,4,22,20,20,19,21,23,17,25,20,20,19,20,20,20,20,20,21
25,20,30,30,22,23,30,27,34,45,26,25,24,27,24,26,23,27,162
30,31,30,29,30,32,26,27,31,30,28,32,30,31,33,26,29,36,30
35,34,36,35,34,33,39,35,104,35,34,33,35,38,37,34,36,37,33
40,29,38,45,38,47,42,31,38,29,39,40,38,41,40,90,40,40,40
45,46,46,46,46,46,46,43,44,47,47,52,48,46,43,47,44,43,45
50,45,46,49,180,49,47,52,56,45,49,45,45,52,48,46,49,52,47
55,55,56,52,52,54,57,30,52,54,57,55,53,59,56,55,56,58,58
60,59,63,60,177,59,60,53,59,69,62,62,55,57,68,57,79,48,56
65,181,59,66,65,69,70,66,62,67,60,65,65,52,65,66,64,73,61
70,74,72,71,35,68,67,70,68,65,69,69,68,134,68,74,68,73,68
75,84,39,70,75,81,72,82,41,69,73,77,76,75,51,79,68,75,72
